teamNumber,scouterName,matchNumber,autoMobility,autoDock,autoEngage,autoCone,autoCube,teleopPark,teleopDock,teleopEngage,teleopCone,teleopCube,autoHighCone,autoHighCube,autoMidCone,autoMidCube,autoLowCone,autoLowCube,teleopHighCone,teleopHighCube,teleopMidCone,teleopMidCube,teleopLowCone,teleopLowCube,comments,Auto Points,Teleop Points,points,Defense,Did not move,Column1,
8514,arwa,12,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robot moved but nothing happened,0,0,0,FALSE,FALSE,,
449,Arwa,13,FALSE,FALSE,FALSE,2,0,FALSE,FALSE,TRUE,1,1,0,0,0,0,2,0,1,0,0,1,0,0,,6,8,14,FALSE,FALSE,,
6239,arwa,14,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"intake doesn't work, couldn't dock or engage",0,2,2,FALSE,FALSE,,
4638,Samkit,10,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,Only Pushing bot,0,18,18,FALSE,FALSE,,
1731,Aryan,11,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bumper fell off, parts on field.",0,10,10,TRUE,FALSE,,
836,Aryan,12,FALSE,TRUE,TRUE,1,0,FALSE,TRUE,TRUE,3,1,1,0,0,0,0,0,3,1,0,0,0,0,,16,20,36,FALSE,FALSE,,
620,Aryan,13,FALSE,TRUE,FALSE,0,0,TRUE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,0,0,1,0,1,moved in the start and one motor broke and moved in a circle,8,7,15,FALSE,TRUE,,
7886,Aryan,14,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,randomly moving around,0,2,2,FALSE,FALSE,,
1389,sriya,16,FALSE,TRUE,TRUE,1,0,FALSE,TRUE,TRUE,2,0,0,0,0,0,1,0,0,0,0,0,2,0,,15,14,29,FALSE,FALSE,,
8326,sriya,17,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,1,3,0,0,0,0,0,0,1,1,0,0,0,2,it flipped over at the end,0,14,14,FALSE,FALSE,,
1446,sriya,18,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10,10,TRUE,FALSE,,
6239,sriya,19,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,FALSE,TRUE,,
2377,Sriya,20,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,0,29,35,FALSE,FALSE,,
2199,Matthew,25,FALSE,FALSE,TRUE,1,0,TRUE,FALSE,FALSE,3,1,1,0,0,0,0,0,1,1,0,0,2,0,,18,14,32,FALSE,FALSE,,
4821,Matthew,26,FALSE,FALSE,FALSE,0,1,TRUE,FALSE,FALSE,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,3,7,10,FALSE,FALSE,,
8326,Matthew,27,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,2,1,0,0,0,0,0,0,1,1,1,0,0,0,,0,12,12,FALSE,FALSE,,
888,Matthew,28,FALSE,FALSE,TRUE,0,0,FALSE,TRUE,FALSE,2,0,0,0,0,0,0,0,0,0,1,0,1,0,,12,5,17,FALSE,FALSE,,
836,Matthew,29,FALSE,FALSE,TRUE,1,0,FALSE,FALSE,TRUE,3,0,1,0,0,0,0,0,3,0,0,0,0,0,,18,25,43,FALSE,FALSE,,
2377,Matthew,30,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,8,12,20,FALSE,FALSE,,
8326,Rohit,31,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It got stuck after autonomous,3,0,3,FALSE,TRUE,,
611,aishani,1,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,2,4,0,0,0,0,0,1,1,0,1,1,0,3,got stuck,3,17,20,FALSE,FALSE,,
1446,Aishani,2,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,didn't move for a majority of the match,0,6,6,FALSE,FALSE,,
5830,Aishani,3,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0,0,1,1,1,1,,0,10,10,FALSE,FALSE,,
4456,Aishani,4,FALSE,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,got stuck,7,0,7,FALSE,FALSE,,
4821,Aishani,5,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,2,0,0,0,0,0,0,0,0,0,1,0,1,,0,15,15,FALSE,FALSE,,
1111,Aishani,6,FALSE,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,1,1,0,0,1,0,1,0,0,0,0,1,1,0,completely stopped during the last 20 seconds of the match,7,5,12,FALSE,FALSE,,
1389,Aishani,7,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,3,0,0,0,0,0,0,0,0,0,2,0,1,0,was struggling to hold the game pieces,0,8,8,FALSE,FALSE,,
7886,Aishani,8,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,didn't show up to the match,0,0,0,FALSE,FALSE,,
4456,Aishani,9,FALSE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,2,1,0,0,1,0,0,0,0,0,1,1,1,0,,4,8,12,FALSE,FALSE,,
